label,text
fire, 기준 주 부 품 명 성능 기준 쿠션 매트리스 좌석 침실 음식 공급 시설 좌석 침대 골조 좌석 덮개 화장실 칸막이 상자 실내 장식품 매트리스 덮개 잔염 시간 탄화 길 커튼 패널 바닥재 고무 재료 장치 벽 천정 칸막이 테이블 
ship,상 정지 수동 조타 교육 시행 해양 환경관리공단 대룡 좌현 추진기 절손 선명 총톤수 선박 주요 치수 주기관 출력 건조 일 대룡 호 길 너비 깊이 손상 범위 좌현 추진기 절손 사고 일시 장소 견내량 거가대교 통과 직전 수 로 
ship,용 사고 일시 사고 장소 인천항 팔미도 로 북동 방 해상 사고 개요 호 인천 남항 시멘트 양하 작업 마치 강제 도선 면제 선장 지휘 날 공선 상태 하 삼척항 향하 선장 날 가 인천 남항 벗어나 출항 부서 배치 해제 하 항해사
fire,자동 개방 해제 여부 확인 층 설비 관 통부 주위 개구부 마감 상태 마감재 성능 확인 드라이 비트 스티로폼 가연 외장재 단열재 시공 여부 확인 하 감안 인접 화기 작업 초기 대응 방안 수립 강화 건물 안전 관리 수행 건축자 
ship,시 손상 사항 전달 하 선박 이상 징후 원인 규명 손상 위험 요소 제거 추진기 윤활유 필터 소제 시 사고 이전 배 정도 물질 검출 선박 인계인수 철저 기록 유지 고장 사항 과 중요 사항 인계 사항 기록 유지 해양 환경관리공단
fire, 전소 층 덤웨이터 주변 개구부 확대 형태 연기 유입 인한 오염 상태 운동 시설 가연물 피해 적음 층 과 층 연기 인한 오염 운동 기구 가연물 피해 적음 층 층 전소 계단 전체 가 피해 입 상태 확대 경로 보임 비상계단 피해
fire,임 확인 따라 압축기 가스 누출 후 폭발 한 추정 그림 압축기 하부 벨로우즈 파손 사진 서산 화학 공장 화재 발화 원인 공장 동의 압축 공정 지붕 층 파손 상태 파손 부분 대한 조사 가함 공장 동의 압축 공정 정상 상태 인화
ship,선박 충돌 사고 사례 선박 과 교량 충돌 문제 기술 발전 따라 항로 가로지르 장대 교량 증가 선박 운 항량 증가 인하 사 가 증가 추세 나타내 충돌 사고 세계 주요 교량 대하 선박 바지선 충돌 사망 기간 동안 미국 내륙 위치
fire, 실시 전 일상 점검 실시 실험실 사용 실험 장비 대하 용 정기 안전 점검 실시 관리 위험 물질 취급 주의 수소 와 위험 물질 사용 경우 사용 물질 대한 안전 정보 물질 안전 보건 자료 통하 습득 후 전하 취급 보관 있 참고
destroied,산양 저수지 붕괴 사고 일요일 오전 분경 경기도 이천시 율면 소재 산양 저수지 제당 유실 되 붕괴 사고 가 발생 사고 저수지 하류 농경지 와 가구 가 침수 손해 입 인명 피해 발생 인명 피해 사고 직전 사고 감지 실패 하 사
